=============== ================ ===== ================
Subroutine      Source file      Done  Assigned To
=============== ================ ===== ================
add_aray        addaray.f        No    No one
dgeocomps       dgeocomps.f      No    No one
meanomega       meanomega.f      No    No one
smooth          smooth.f         No    No one
add_by_cnst     addbycnst.f      No    No one
div_aray        divaray.f        No    No one
mixrat          mixrat.f         No    No one
alt2press       alt2press.f      No    No one
mslp2thkns      mslp2thkns.f     No    No one
spechum2        spechum2.f       No    No one
avwind          avwind.f         No    No one
dotvectors      dotvectors.f     No    No one
mult_aray       multaray.f       No    No one
spechum         spechum.f        No    No one
richno          BulkRichNo.f     No    No one
mult_by_cnst    multbycnst.f     No    No one
sub_aray        subaray.f        No    No one
calccondprdef   calccondprdef.f  No    No one
eqlev           eqlev.f          No    No one
calccondpr      calccondpr.f     No    No one
eqp             eqp.f            No    No one
nadgdt          nadgdt.f         No    No one
sweat           sweat.f          No    No one
calcdpd         calcdpd.f        No    No one
natlog          natlog.f         No    No one
sweatidx        sweatidx.f       No    No one
calcli          calcli.f         No    No one
exp_aray        exparay.f        No    No one
negarea         negarea.f        No    No one
calcpv          calcpv.f         No    No one
fndiverg        fndiverg.f       No    No one
temp2theta      temp2theta.f     No    No one
calcrh2         calcrh2.f        No    No one
posarea         posarea.f        No    No one
theta2temp      theta2temp.f     No    No one
calcrh          calcrh.f         No    No one
fortconbuf      fortconbuf.f     No    No one
contr1_b        fortconbuf.f     No    No one
smoothing_b     fortconbuf.f     No    No one
zeroitoutbuf    fortconbuf.f     No    No one
calctd2         calctd2.f        No    No one
frontogen       frontogen.f      No    No one
powercalc       powercalc.f      No    No one
totals          totals.f         No    No one
calctd          in calctd.f      No    No one
frzlev          frzlev.f         No    No one
press2alt       press2alt.f      No    No one
tplcl           tplcl.f          No    No one
calcthetae2     calcthetae2.f    No    No one
fsdiverg        fsdiverg.f       No    No one
pres_stability  presstable.f     No    No one
tpzlcl          tpzlcl.f         No    No one
calcthetae      calcthetae.f     No    No one
g2gkinematics   g2gkinematics.f  No    No one
pseudolift      pseudolift.f     No    No one
tsoar           tsoar.f          No    No one
calctv2         calctv2.f        No    No one
gusts           gusts.f          No    No one
tv2temp         tv2temp.f        No    No one
calctv          calctv.f         No    No one
hailsiz         hailsiz.f        No    No one
pvadv           pvadv.f          No    No one
uvcomp          uvcomp.f         No    No one
calctw          calctw.f         No    No one
calchelicity    helicity.f       No    No one
pvalue          pvalue.f         No    No one
ver_pts         verpts.f         No    No one
cclpar          cclpar.f         No    No one
hgt2pres        hgt2pres.f       No    No one
pvpres          pvpres.f         No    No one
ver_range       verrange.f       No    No one
qdiverg         qdiverg.f        No    No one
comp_by         comp_by.f        No    No one
intpos          intpos.f         No    No one
qvector         qvector.f        No    No one
virtualt        virtualt.f       No    No one
constant        constant.f       No    No one
radiation       radiation.f      No    No one
crossvectors    crossvectors.f   No    No one
isen_stability  isenstable.f     No    No one
vvel            vvel.f           No    No one
ctop            ctop.f           No    No one
koffset         koffset.f        No    No one
cv_date2jul     cv_date2jul.f    No    No one
lapserate       lapserate.f      No    No one
replinrange     replinrange.f    No    No one
winddir         winddir.f        No    No one
cvgust          cvgust.f         No    No one
lclpar          lclpar.f         No    No one
windspeed       windspeed.f      No    No one
ddff            ddff.f           No    No one
lfcpar          lfcpar.f         No    No one
rotvectors      rotvectors.f     No    No one
wndrho          wndrho.f         No    No one
deftrk          deftrk.f         No    No one
liftedp         liftedp.f        No    No one
setqsmooth      setqsmooth.f     No    No one
density         density.f        No    No one
lintrans        lintrans.f       No    No one
slfront         slfront.f        No    No one
derivative      derivative.f     No    No one
matsln          matsln.f         No    No one
slqdiv          slqdiv.f         No    No one
derived_icing   derived_icing.f  No    No one
max_min         maxmin.f         No    No one
slqvect         slqvect.f        No    No one
forecast        forecast.f       No    No one
mxtp            mxtp.f           No    No one
rhbar           rhbar.f          No    No one
solax           solax.f          No    No one
radrtns         radrtns.f        No    No one
=============== ================ ===== ================
